Universidade;Ano;Mês;Função;Grupo Natureza;Origem Recursos;Orçamento Inicial LOA;Total Orçamentário Até Mês;Total Orçamentário No Mês;Disponibilidade Orçamentária Até Mês;Disponibilidade Orçamentária No Mês;Empenhado Até Mês;Empenhado No Mês;Liquidado Até Mês;Liquidado No Mês;Pago Até Mês;Pago No Mês;Valor Empenhado;Valor Liquidado;Valor Pago;Fator Correção
45.31 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;O - OUTRAS FONTES;1082331,43;0;1082331,43;0;938832,32;0;921660,34;158245,41;921660,34;158245,41;921660,34;921660,34;921660,34;921660,34;3,607771426
45.31 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG;2002;12;12 - EDUCAÇÃO;2 - JUROS E ENCARGOS DA DÍVIDA;O - OUTRAS FONTES;1118409,14;0;1118409,14;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.31 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;42914441,12;0;42914441,12;237369,71;21228318,28;563296,65;18717103,58;1931435,22;18607718,66;1984707;18607718,66;18717103,58;18607718,66;18607718,66;3,607771426
45.31 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;O - OUTRAS FONTES;93001961,62;0;93001961,62;0;15319420,05;-933905,4;13584734,53;1165756,45;13579620,51;1165756,45;13579620,51;13584734,53;13579620,51;13579620,51;3,607771426
45.31 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;146731671,7;13047956,33;159779628;13047956,33;159779628;25194028,4;159276441,6;25194028,4;159276441,6;25194028,4;159276441,6;159276441,6;159276441,6;159276441,6;3,607771426
45.31 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;9490567,44;490490,96;11163285,4;490490,96;11163285,4;1059088,54;10681425,64;2616365,76;10418763,47;2658387,21;10418763,47;10681425,64;10418763,47;10418763,47;3,607771426
45.31 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;T - TESOURO;30485668,55;-18940799,99;15213972,1;-18940799,99;15213972,1;-4606662,03;9141309,33;2155363,14;4985878,49;2161554,08;4985878,49;9141309,33;4985878,49;4985878,49;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;10 - SAÚDE;1 - PESSOAL E ENCARGOS SOCIAIS;O - OUTRAS FONTES;18038,86;0;18038,86;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;10 - SAÚDE;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;14395007,99;0;14395007,99;0;11166052,56;1269997,02;10640340,34;1405366,95;9396385,63;1138308,45;8914722,24;10640340,34;9396385,63;8914722,24;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;10 - SAÚDE;4 - INVESTIMENTOS;O - OUTRAS FONTES;10502222,62;0;10502222,62;0;1324939,63;31110,61;1211964,07;295212,28;1081650,06;295993,44;1081397,52;1211964,07;1081650,06;1081397,52;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;10 - SAÚDE;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;44375588,54;1086877,22;45462465,76;1086877,22;45462465,76;7374037,77;45462465,76;7376182,84;45462465,76;7175525,34;45253006,31;45462465,76;45462465,76;45253006,31;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;10 - SAÚDE;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;0;0;1082331,43;0;1082331,43;142563,79;1082331,43;289178,14;1017402,22;420235,49;1010092,15;1082331,43;1017402,22;1010092,15;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;10 - SAÚDE;4 - INVESTIMENTOS;T - TESOURO;10823314,28;0;0;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;O - OUTRAS FONTES;5411657,14;0;5411657,14;18038,86;3008881,37;372112,54;2960933,83;372112,54;2960933,83;372112,54;2960933,83;2960933,83;2960933,83;2960933,83;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;2 - JUROS E ENCARGOS DA DÍVIDA;O - OUTRAS FONTES;721554,29;0;721554,29;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;49210002,26;0;49210002,26;721554,29;45515839,13;4663774,49;43150884,82;5628612,13;39562480,09;6470640,19;39096838,24;43150884,82;39562480,09;39096838,24;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;O - OUTRAS FONTES;78314255,13;0;78025633,41;180388,57;13348213,11;2029800,07;12839355,24;2729696,97;11370839,56;2789862,08;11216443,9;12839355,24;11370839,56;11216443,9;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;5 - INVERSÕES FINANCEIRAS;O - OUTRAS FONTES;0;0;288621,71;0;288621,71;0;263179,46;0;263179,46;0;263179,46;263179,46;263179,46;263179,46;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;291136330,8;11595918,53;302732249,3;28586613,44;301382149,1;48587494,28;301382149,1;48641879,6;301382149,1;48821179,45;301382149,1;301382149,1;301382149,1;301382149,1;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;25371003,16;-8083013,45;18446816,71;-8083013,45;18095174,44;2883687,16;18095174,44;2596792,73;17686205,81;1154938,01;16236693,77;18095174,44;17686205,81;16236693,77;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;T - TESOURO;4329325,71;0;15152639,99;0;14431085,71;12417815,11;14431085,71;3404013,3;3486887,06;2878634,29;2959852,08;14431085,71;3486887,06;2959852,08;3,607771426
45.32 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM;2002;12;28 - ENCARGOS ESPECIAIS;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;760626,45;0;760626,45;5689,46;453222,68;5686,86;453218,75;5686,86;453218,75;0;447531,89;453218,75;453218,75;447531,89;3,607771426
45.33 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;2002;12;12 - EDUCAÇÃO;2 - JUROS E ENCARGOS DA DÍVIDA;O - OUTRAS FONTES;484992,71;0;484992,71;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.33 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;15621650,28;0;15621650,28;451732,67;5924566,79;236042,02;5584927,69;465240,16;5584927,69;488146,81;5584927,69;5584927,69;5584927,69;5584927,69;3,607771426
45.33 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;O - OUTRAS FONTES;23979305,33;0;23979305,33;137629,26;3984743,85;132710,39;3863879,22;510549,16;3863879,22;520701,17;3863879,22;3863879,22;3863879,22;3863879,22;3,607771426
45.33 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;54693814,82;929964,42;55623779,24;929964,42;55623779,24;10072355,54;54882477,28;10087625,68;54882477,28;10052464,02;54847315,61;54882477,28;54882477,28;54847315,61;3,607771426
45.33 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;10611826,72;1389832,61;12452612,72;1389832,61;12042203,46;1458519,89;11670602,54;1989111,66;11670602,54;2208743,98;11662387,43;11670602,54;11670602,54;11662387,43;3,607771426
45.33 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;T - TESOURO;9740982,85;-9392832,91;348149,94;-4870491,43;324699,43;-12648,85;301263,35;150631,67;301263,35;150631,67;301263,35;301263,35;301263,35;301263,35;3,607771426
45.33 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;2002;12;28 - ENCARGOS ESPECIAIS;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;47694,74;0;47694,74;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;10 - SAÚDE;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;20542506,19;0;20372940,93;0;138924,45;0;138686,63;0;138686,63;0;138686,63;138686,63;138686,63;138686,63;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;10 - SAÚDE;4 - INVESTIMENTOS;O - OUTRAS FONTES;0;0;169565,26;0;169565,26;545,13;169093,36;0;168548,23;0;168548,23;169093,36;168548,23;168548,23;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;10 - SAÚDE;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;16505554,28;-3256587,35;13248966,93;-3256587,35;13182890,59;1026317,17;13182890,59;2848481,51;13182890,59;2054539,57;12388948,65;13182890,59;13182890,59;12388948,65;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;10 - SAÚDE;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;9596671,99;207998,85;9804670,84;207998,85;9801975,83;1720393,04;9801975,83;2808383,62;9801975,83;1925575,84;8919168,06;9801975,83;9801975,83;8919168,06;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;10 - SAÚDE;4 - INVESTIMENTOS;T - TESOURO;14431085,71;-14431085,71;2236818,28;-14431085,71;2236818,28;-10,57;2236807,71;1501241,85;2236807,71;226823,98;962389,84;2236807,71;2236807,71;962389,84;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;O - OUTRAS FONTES;1547661,79;0;2269216,07;0;1114512,75;-36923,74;1029721,5;0;1029721,5;0;1029721,5;1029721,5;1029721,5;1029721,5;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;12 - EDUCAÇÃO;2 - JUROS E ENCARGOS DA DÍVIDA;O - OUTRAS FONTES;1082331,43;0;1082331,43;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;29953666,58;0;29232112,29;144310,86;14144231,8;1116298,85;13215533,64;1705830,78;12413776,83;1526873,3;12234819,35;13215533,64;12413776,83;12234819,35;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;O - OUTRAS FONTES;80092525,66;0;80092525,66;541165,71;4547321,69;584903,12;3926946,38;1787283,83;3820280,24;1780437,04;3813433,45;3926946,38;3820280,24;3813433,45;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;125492613,1;2766096,39;128258709,5;2766096,39;128258709,5;20935974,43;128256184;24560511,46;128256184;20618033,66;124293710,3;128256184;128256184;124293710,3;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;17176275,06;-3928101,84;14188048,18;-3928101,84;14116304,04;586094,73;14100499,91;3218177,86;14098894,56;2164855,51;13045572,21;14100499,91;14098894,56;13045572,21;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;T - TESOURO;16884370,28;-13262167,76;3622202,51;-13146567,55;3413103,3;118170,79;3412446,61;2055286,34;3412446,61;485904,43;1843064,7;3412446,61;3412446,61;1843064,7;3,607771426
45.34 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE;2002;12;28 - ENCARGOS ESPECIAIS;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;5483,81;0;5483,81;4967,9;4967,9;4967,9;4967,9;0;0;0;0;4967,9;0;0;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;O - OUTRAS FONTES;351757,71;0;351757,71;0;128436,66;11898,97;23683,4;13410,99;22244,29;13410,99;22244,29;23683,4;22244,29;22244,29;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;12 - EDUCAÇÃO;2 - JUROS E ENCARGOS DA DÍVIDA;O - OUTRAS FONTES;612671,74;-18038,86;180388,57;-18038,86;0;0;0;0;0;0;0;0;0;0;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;18307203,17;515550,54;18289142,67;906084,58;12855369,89;1358710,13;10667668,38;1576037,56;10335625,95;1592660,51;10222119,87;10667668,38;10335625,95;10222119,87;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;O - OUTRAS FONTES;26069684,17;-497511,68;27365996,13;-405874,29;5661650,44;1785678,77;5230200,49;1678093,51;4194770,27;1482097,72;3978929,57;5230200,49;4194770,27;3978929,57;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;70220003,47;932020,85;70268120,31;1016843,16;69390335,1;11436491,69;68995980,03;11462917,17;68954098,92;11493089,4;68899015,83;68995980,03;68954098,92;68899015,83;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;8193970,46;884621,95;11406474,45;810622,95;11056426,82;1485743,77;9673642,35;1531289,54;8743754,82;1554270,21;8676845,38;9673642,35;8743754,82;8676845,38;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;T - TESOURO;3066605,71;-1906736,06;1027222,72;-1906736,06;119897,07;10613,74;42336,33;12426,97;35317,74;12426,97;35317,74;42336,33;35317,74;35317,74;3,607771426
45.46 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR;2002;12;28 - ENCARGOS ESPECIAIS;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;643446,03;0;643446,03;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2003;12;10 - SAÚDE;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;68854308,21;0;68854308,21;0;63768793,7;7006508,05;60231776,93;4087914,8;52354806,91;4089301,13;52354806,91;60231776,93;52354806,91;52354806,91;3,300781793
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2003;12;10 - SAÚDE;4 - INVESTIMENTOS;O - OUTRAS FONTES;31588481,76;0;31588481,76;372988,34;6436524,5;3516007,19;4795929,3;20029,67;821467,25;20029,67;821467,25;4795929,3;821467,25;821467,25;3,300781793
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2003;12;10 - SAÚDE;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;111055529,6;12377822,8;123433352,4;30325949,23;123433352,4;30355801,6;123408281,3;27774644,1;120080261,9;27774644,1;120080261,9;123408281,3;120080261,9;120080261,9;3,300781793
